Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,5.2%,7.3%,0.71,-12.0%,-6.8%,416.60,93.6%
0.0005,5.2%,7.4%,0.71,-12.7%,-7.1%,412.82,74.8%
0.001,5.3%,7.2%,0.74,-12.2%,-7.2%,426.74,57.3%
0.0025,4.3%,6.9%,0.62,-15.5%,-6.8%,322.13,34.9%
0.005,2.9%,6.6%,0.43,-23.0%,-6.8%,214.41,18.9%
0.0075,1.6%,4.7%,0.34,-22.8%,-4.9%,152.19,8.3%
0.01,0.3%,1.5%,0.23,-7.7%,-1.5%,110.14,1.1%
