feature_design,family,n_strategies,best_sharpe,median_sharpe,best_ann_return,median_ann_return,median_ann_turnover,min_ann_turnover,best_ann_turnover,median_avg_cash,best_strategy
z_plus_zsmooth,LOGIT,312,0.782279931406154,0.6176515247603536,0.08028985247023533,0.06192365507989424,0.616,0.20800000000000002,2.178782608695652,0.07014492753623189,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g5p0__tau1p0__c0p0005__phl0p0__l10p0005
z_plus_zsmooth,RF,143,0.7736762604725557,0.5465325813595778,0.07118537879827026,0.054137264721294785,0.6608695652173913,0.26991304347826084,1.1742608695652177,0.05437681159420289,z_plus_zsmooth__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p0005__phl0p0__l10p0005
z_smooth_only,LOGIT,282,0.7744902826392858,0.5887375653937992,0.08288474087368623,0.06049375707528669,0.592,0.2434782608695652,1.826782608695652,0.07031884057971013,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g0p5__tau1p0__c0p0005__phl0p0__l10p0
z_smooth_only,RF,165,0.8149584331085663,0.5486425462868015,0.07308064783349412,0.05593084422017699,0.6441739130434783,0.21982608695652178,0.7387826086956523,0.05698550724637681,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p0005__phl0p0__l10p001
