strategy,strategy_name,feature_design,family,allocation_pair,budget_mode,gamma,tau,tcost_one_way,lambda_turnover,effective_trade_penalty,prob_smooth_halflife,n_months,ann_return,ann_vol,sharpe,max_drawdown,cvar_1pct_monthly,final_wealth,benchmark_ann_return,benchmark_ann_vol,benchmark_sharpe,benchmark_max_drawdown,ann_turnover,avg_monthly_turnover,max_monthly_turnover,avg_monthly_tcost_paid,ann_tcost_drag,avg_w_eq,avg_w_bd,avg_w_cash,both_bad_avg_cash,both_bad_avg_eq,both_bad_avg_bd,both_good_avg_eq,both_good_avg_bd,equity_good_only_avg_eq,bond_good_only_avg_bd
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau1__l10p0005__c0p001__phl3,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau1__l10p0005__c0p001__phl3,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,0.25,1.0,0.001,0.0005,0.0015,3.0,345,0.06915886117316727,0.1314796198151066,0.5260044200798726,-0.29903871411246974,-0.11695075,685.2349125039173,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.4869565217391304,0.04057971014492753,2.0,4.057971014492754e-05,0.0004869565217391305,0.8206376811594203,0.1793623188405797,1.2872151010146743e-18,1.0092936587501423e-17,0.629090909090909,0.3709090909090909,0.9411764705882353,0.058823529411764705,0.8676635514018692,0.4850793650793651
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau3__l10p001__c0p0005__phl3,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau3__l10p001__c0p0005__phl3,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,0.25,3.0,0.0005,0.001,0.0025,3.0,345,0.07052032866610847,0.1341017400069062,0.5258718392652973,-0.3632792675017964,-0.11695075,711.4791999003951,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.34782608695652173,0.028985507246376812,2.0,1.4492753623188407e-05,0.00017391304347826088,0.8424347826086956,0.15756521739130436,1.6090188762683428e-19,0.0,0.7272727272727273,0.2727272727272727,0.9150326797385621,0.08496732026143791,0.931214953271028,0.4444444444444444
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau5__l10__c0p0005__phl3,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau5__l10__c0p0005__phl3,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,0.25,5.0,0.0005,0.0,0.0025,3.0,345,0.07052032866610847,0.1341017400069062,0.5258718392652973,-0.3632792675017964,-0.11695075,711.4791999003951,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.34782608695652173,0.028985507246376812,2.0,1.4492753623188407e-05,0.00017391304347826088,0.8424347826086956,0.15756521739130436,1.6090188762683428e-19,0.0,0.7272727272727273,0.2727272727272727,0.9150326797385621,0.08496732026143791,0.931214953271028,0.4444444444444444
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau1__l10p0005__c0p0025__phl0,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau1__l10p0005__c0p0025__phl0,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,0.25,1.0,0.0025,0.0005,0.003,0.0,345,0.06521010506680902,0.12403718310867794,0.5257302966133449,-0.30112728552447887,-0.10879025,614.2386106868362,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,1.2020869565217391,0.10017391304347827,2.0,0.0002504347826086957,0.0030052173913043484,0.8169855072463769,0.1830144927536232,0.0,0.0,0.7272727272727273,0.2727272727272727,0.9271895424836603,0.07281045751633987,0.9252336448598131,0.6031746031746031
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau3__l10p001__c0p0005__phl3,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau3__l10p001__c0p0005__phl3,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,1.0,3.0,0.0005,0.001,0.0025,3.0,345,0.06757850207048732,0.12858438683751128,0.5255576025406918,-0.34651805550929193,-0.11695075,657.3597554416071,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.38678260869565223,0.03223188405797102,2.0,1.611594202898551e-05,0.0001933913043478261,0.8052173913043477,0.19478260869565214,1.6090188762683428e-19,0.0,0.7018181818181818,0.2981818181818182,0.8771241830065358,0.12287581699346406,0.9039252336448598,0.5009523809523809
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau5__l10__c0p0005__phl3,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau5__l10__c0p0005__phl3,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,1.0,5.0,0.0005,0.0,0.0025,3.0,345,0.06757850207048732,0.12858438683751128,0.5255576025406918,-0.34651805550929193,-0.11695075,657.3597554416071,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.38678260869565223,0.03223188405797102,2.0,1.611594202898551e-05,0.0001933913043478261,0.8052173913043477,0.19478260869565214,1.6090188762683428e-19,0.0,0.7018181818181818,0.2981818181818182,0.8771241830065358,0.12287581699346406,0.9039252336448598,0.5009523809523809
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau1__l10__c0p0025__phl3,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau1__l10__c0p0025__phl3,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,1.0,1.0,0.0025,0.0,0.0025,3.0,345,0.06971678446362861,0.13275817606736687,0.5251411741921755,-0.3361157298902261,-0.11695075,693.5075147154246,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.34782608695652173,0.028985507246376812,2.0,7.246376811594203e-05,0.0008695652173913043,0.8222028985507246,0.17779710144927535,3.2180377525366857e-19,0.0,0.6963636363636364,0.30363636363636365,0.8929411764705882,0.10705882352941176,0.9201869158878505,0.4720634920634921
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau1__l10p0005__c0p0005__phl3,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau1__l10p0005__c0p0005__phl3,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,1.0,1.0,0.0005,0.0005,0.001,3.0,345,0.06689458614954069,0.12744026342327563,0.5249093524497777,-0.27793208510795686,-0.11654600000000001,645.3595560841703,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.6260869565217391,0.05217391304347826,2.0,2.6086956521739135e-05,0.00031304347826086965,0.7705507246376813,0.22944927536231882,8.849603819475885e-19,0.0,0.4209090909090909,0.5790909090909091,0.9024836601307189,0.09751633986928104,0.8330841121495326,0.533968253968254
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau1__l10p0005__c0p001__phl6,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau1__l10p0005__c0p001__phl6,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,3.0,1.0,0.001,0.0005,0.0015,6.0,345,0.05875622885658682,0.11207171312940975,0.5242734961028098,-0.28806093543281186,-0.10796205495460531,517.3202373612057,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.4340869565217392,0.036173913043478265,2.0,3.617391304347827e-05,0.0004340869565217392,0.6378550724637682,0.3621449275362319,4.062772662577566e-18,2.523234146875356e-18,0.43000000000000005,0.57,0.6998692810457515,0.30013071895424837,0.7170093457943927,0.5746031746031748
z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau1__l10p0025__c0p0005__phl3,z_smooth_only__LOGIT__return_sortino_vs_bond__cash_allowed__g3__tau1__l10p0025__c0p0005__phl3,z_smooth_only,LOGIT,return_sortino_vs_bond,cash_allowed,3.0,1.0,0.0005,0.0025,0.003,3.0,345,0.054043400304222056,0.10315464331857378,0.5239066179243056,-0.28298644690554253,-0.10368808243190795,455.50167426534995,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.3060869565217392,0.025507246376811597,2.0,1.27536231884058e-05,0.0001530434782608696,0.5166376811594202,0.4833623188405797,1.6975149144631016e-17,1.5139404881252134e-17,0.3972727272727272,0.602727272727273,0.5428758169934641,0.45712418300653596,0.6158878504672897,0.6739682539682538
