asset,level_obs,level_first_date,level_last_date,dense_daily_start,daily_obs_used,daily_first_date,daily_last_date,monthly_obs,monthly_first_date,monthly_last_date,rf_available_daily_pct,rf_available_monthly_pct
equity,12678,1976-01-30,2026-05-14,1927-12-30,12677,1976-02-02,2026-05-14,605,1976-01-31,2026-05-31,0.9975546264889169,0.996694214876033
bond,9529,1976-01-30,2026-05-13,1988-12-30,9371,1989-01-03,2026-05-13,605,1976-01-31,2026-05-31,0.9966919218866717,0.996694214876033
