Risk aversion,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.25,+3.7%,10.1%,0.367,-24.4%,-10.1%,467.9,113.9%
0.5,+4.0%,9.5%,0.42,-20.3%,-9.9%,512.3,109.7%
1.0,+3.7%,8.2%,0.447,-15.7%,-9.1%,485.0,94.8%
2.0,+3.7%,6.8%,0.536,-15.6%,-7.3%,499.4,86.4%
3.0,+3.3%,6.0%,0.545,-15.6%,-6.6%,450.0,77.2%
5.0,+2.7%,4.5%,0.597,-10.9%,-5.0%,393.8,58.2%
