Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,+2.3%,6.9%,0.33,-26.5%,-9.5%,190.64,263.7%
0.001,+2.9%,6.9%,0.41,-16.3%,-7.8%,225.41,125.1%
0.003,+0.9%,6.5%,0.14,-32.6%,-8.5%,129.75,49.7%
0.005,+3.3%,7.3%,0.46,-17.0%,-8.7%,257.10,27.8%
