Risk aversion,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.25,+2.3%,7.2%,0.32,-28.8%,-9.8%,192.70,265.0%
0.5,+2.3%,6.9%,0.33,-26.5%,-9.5%,190.64,263.7%
1.0,+2.1%,5.5%,0.38,-16.9%,-6.7%,181.95,262.4%
2.0,+2.1%,4.5%,0.46,-10.8%,-5.0%,179.43,240.4%
3.0,+1.8%,3.8%,0.48,-8.6%,-4.1%,169.01,215.8%
5.0,+1.5%,2.8%,0.53,-6.2%,-3.0%,151.95,158.7%
