Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,+2.2%,4.1%,0.53,-10.3%,-4.3%,185.62,192.6%
0.001,+1.8%,4.0%,0.45,-13.3%,-4.6%,167.51,73.0%
0.003,+1.6%,5.0%,0.32,-20.8%,-6.1%,157.06,24.4%
0.005,+2.1%,4.8%,0.45,-14.1%,-6.3%,183.69,11.0%
