Shrinkage K,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,+2.7%,6.3%,0.42,-16.3%,-7.8%,213.49,231.5%
12,+2.4%,6.7%,0.36,-23.1%,-9.0%,198.06,255.3%
24,+2.3%,6.8%,0.34,-25.5%,-9.4%,192.04,258.6%
30,+2.3%,6.8%,0.33,-26.1%,-9.5%,190.13,259.8%
36,+2.3%,6.9%,0.33,-26.5%,-9.5%,190.64,263.7%
42,+2.3%,6.9%,0.34,-26.3%,-9.5%,193.68,265.0%
48,+2.3%,6.9%,0.34,-26.2%,-9.5%,194.11,267.0%
60,+2.3%,6.9%,0.33,-26.1%,-9.5%,190.03,271.9%
96,+2.4%,7.1%,0.34,-25.7%,-9.5%,196.08,283.4%
