month_end,ff_mktrf,ff_smb,ff_hml,ff_rmw,ff_cma,ff_mom,ff_rf,smlo_vwret,smme_vwret,smhi_vwret,bilo_vwret,bime_vwret,bihi_vwret,crsp_ind12_buseq,crsp_ind12_chems,crsp_ind12_durbl,crsp_ind12_enrgy,crsp_ind12_hlth,crsp_ind12_manuf,crsp_ind12_money,crsp_ind12_nodur,crsp_ind12_other,crsp_ind12_shops,crsp_ind12_telcm,crsp_ind12_utils,crsp_tsy_10_20y,crsp_tsy_1_3y,crsp_tsy_20y_plus,crsp_tsy_7_10y,crsp_tsy_3_7y
1927-08-31,,,,,,,,0.0249,-0.023,0.0073,0.0401,0.0115,-0.0194,0.067339154,0.0210892614,0.0697849945,-0.000364371,0.0028421407,0.0316349365,0.0203545492,0.0276921522,-0.011863894,0.0732405994,0.0042537108,0.0343654778,0.0057762019,0.0043615522,0.0056358624,0.0004843397,0.0039285619
1927-09-30,,,,,,,,0.022,0.0224,0.0037,0.0525,0.0442,0.0593,0.008612626,0.0578555244,0.0569934186,0.0332144194,0.0564960232,0.042562965,0.0596077226,0.0525754852,0.0456068172,0.0752665948,0.0653020426,0.083197922,0.0018988496,,0.0016546057,0.0016217093,0.0008234237
1927-10-31,,,,,,,,-0.0021,-0.0217,-0.0609,-0.0357,-0.0436,-0.0663,-0.071698613,-0.069206619,-0.044298578,-0.020919829,0.0540485095,-0.067188216,0.0408862232,-0.00715583,-0.042584789,-0.0489925,-0.020906059,-0.043532429,0.0048803796,,0.0089620477,0.0029143505,0.0043841211
1927-11-30,,,,,,,,0.1028,0.0795,0.1046,0.0697,0.0675,0.0664,0.1113445715,0.0894679548,0.0634657194,0.0425157583,0.0399803094,0.1108131269,0.0560896838,0.0677516699,0.0428345531,0.116234603,0.0282586553,0.0633749665,0.0046082965,,0.0080138706,0.0016143787,0.0028701268
1927-12-31,,,,,,,,0.0567,0.0266,0.0245,0.025,0.0187,0.0347,0.0210832199,-0.000379487,0.0776137227,0.0090883307,-0.004980759,0.0379188915,0.052671387,0.0242013001,0.0136563089,-0.006841323,0.0133306238,0.0224376437,0.0024818874,,0.0060357952,0.0016737757,0.0023872066
1928-01-31,,,,,,,,0.0314,0.0268,0.036,-0.0044,-0.004,-0.0232,-0.002415772,-0.004360773,-0.033357006,-0.018644092,0.0255231163,-0.005447408,0.0166758685,0.0065417358,-0.011786016,-0.007872356,0.0029988709,0.0587354525,0.0015558157,,-0.001990593,0.0041504959,0.001663005
1928-02-29,,,,,,,,-0.0488,-0.0177,-0.0413,-0.0068,-0.0122,-0.027,-0.009772651,0.0096226159,0.0135029647,-0.002480321,-0.034423663,-0.02548999,-0.027068951,-0.039659935,-0.019542206,-0.010847173,-0.002940282,-0.007469317,0.0027777447,,0.0052525457,0.0015901134,0.0035273159
1928-03-31,,,,,,,,0.0697,0.0863,0.0944,0.1236,0.0614,0.0768,0.2131642137,0.1260108291,0.2737347107,0.0557711415,0.1101562967,0.0627799551,0.1028033903,0.0466914452,0.058239099,0.0829369143,0.0196126468,0.0661947602,0.0006964478,,0.0036817835,0.0004679844,0.0024641047
1928-04-30,,,,,,,,0.0503,0.1078,0.0998,0.0294,0.0594,0.045,0.0240923333,0.0012778477,0.0145202241,0.1534310636,0.0177793127,0.0250731535,0.1102624162,-0.002289545,0.0406313065,0.0010395277,0.0313312275,0.1081926457,-0.000776725,,-0.000950231,0.0016509369,-0.000267423
1928-05-31,,,,,,,,0.067,0.0197,0.0261,0.0257,-0.0004,0.0065,0.0249127463,0.0266409188,0.0576228361,-0.051665363,0.1049781884,0.0367010467,0.0667935295,0.0100164447,-0.001359377,0.0484702759,0.0663220561,0.0147864489,-0.005393537,,-0.006898316,0.0029034874,-0.000172475
