Smoothing half-life,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,+2.3%,6.9%,0.33,-26.5%,-9.5%,190.64,263.7%
3,+3.8%,7.0%,0.55,-18.0%,-7.7%,295.46,124.9%
6,+3.9%,7.2%,0.54,-20.3%,-8.1%,299.78,81.7%
