Shrinkage K,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,+2.0%,3.5%,0.56,-6.8%,-3.9%,174.25,101.0%
12,+2.1%,3.6%,0.58,-9.0%,-3.8%,179.51,100.5%
24,+2.1%,3.5%,0.60,-9.6%,-3.7%,182.55,94.6%
30,+2.1%,3.5%,0.60,-9.8%,-3.6%,180.41,91.7%
36,+2.0%,3.4%,0.59,-9.8%,-3.5%,178.19,90.7%
42,+2.0%,3.4%,0.60,-9.5%,-3.4%,177.22,87.7%
48,+2.0%,3.3%,0.60,-9.2%,-3.4%,176.79,85.4%
60,+2.0%,3.2%,0.60,-9.1%,-3.3%,174.74,81.0%
96,+1.9%,3.0%,0.65,-8.4%,-3.0%,173.07,68.5%
