Risk aversion,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.25,+4.6%,7.8%,0.596,-17.0%,-8.4%,646.6,104.5%
0.5,+4.4%,7.6%,0.576,-17.0%,-8.4%,599.6,108.0%
1.0,+4.1%,7.1%,0.577,-15.6%,-7.4%,564.0,109.4%
2.0,+3.2%,6.1%,0.528,-15.6%,-7.1%,446.5,109.7%
3.0,+2.8%,5.1%,0.548,-12.1%,-5.6%,399.3,94.6%
5.0,+2.3%,3.9%,0.604,-8.4%,-3.8%,357.6,78.0%
