Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,8.1%,10.4%,0.77,-16.3%,-9.7%,867.20,182.7%
0.0005,8.0%,10.7%,0.75,-19.2%,-10.8%,831.93,152.1%
0.001,8.0%,10.7%,0.75,-20.3%,-11.1%,836.31,135.5%
0.0025,6.6%,10.3%,0.64,-20.3%,-11.1%,568.07,113.8%
0.005,6.5%,11.1%,0.59,-22.1%,-11.2%,540.65,62.5%
0.0075,5.4%,11.9%,0.45,-34.7%,-11.7%,382.60,49.4%
0.01,1.3%,9.0%,0.15,-43.1%,-9.5%,130.50,22.3%
