Role,Model,Predictor set,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Ann. turnover,Final wealth
60/40 benchmark,--,--,0.0493271522338508,0.0962677593326348,0.5123953499676913,-0.3611855999415631,0.1969711652832858,360.3672244695828
High-return dynamic,Logistic regression,smoothed z-score predictors,0.0808299688023513,0.1043653750269161,0.7744902826392858,-0.1633682353450001,1.826782608695652,867.1985152095153
Defensive dynamic,Random forest,smoothed z-score predictors,0.0471242333703092,0.0578240944026545,0.8149584331085663,-0.1278523550589236,0.7387826086956523,368.5312276716616
Low-turnover dynamic,Logistic regression,z-score + smoothed z-score predictors,0.0531862288523665,0.0722409215202325,0.7362340863477309,-0.1221470898329317,0.5732173913043479,426.7404166204177
