Label,Frequency,Number of observations,Number of features,Complete observations,First date,Last date,Average missing share
Equity regime label,Daily,12668,8,12668,1976-01-30,2026-04-30,0.0%
Bond regime label,Monthly,604,11,591,1976-01-31,2026-04-30,1.2%
