Turnover multiplier,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,+3.1%,5.0%,0.622,-19.1%,-4.5%,235.0,113.0%
1.0,+2.8%,4.7%,0.59,-18.9%,-4.2%,214.1,29.2%
3.0,+3.1%,4.3%,0.727,-14.3%,-4.0%,240.2,8.9%
5.0,+2.1%,5.4%,0.389,-24.4%,-5.9%,175.7,4.9%
