Smoothing half-life,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,+1.6%,2.5%,0.64,-9.7%,-2.4%,157.64,5.6%
3,+1.7%,2.7%,0.63,-10.5%,-2.5%,160.81,3.1%
6,+1.6%,2.6%,0.60,-11.5%,-2.7%,156.08,2.6%
