Risk aversion,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.25,+4.7%,13.0%,0.362,-52.4%,-14.0%,301.3,49.9%
0.5,+4.5%,12.7%,0.353,-51.2%,-13.6%,286.8,53.0%
1.0,+4.7%,10.4%,0.454,-33.5%,-11.5%,333.4,63.6%
2.0,+3.8%,7.2%,0.527,-20.7%,-7.8%,275.7,49.8%
3.0,+3.2%,5.9%,0.541,-20.6%,-6.3%,238.7,40.8%
5.0,+2.8%,4.7%,0.59,-18.9%,-4.2%,214.1,29.2%
