Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,+3.1%,5.0%,0.62,-19.1%,-4.5%,234.96,113.0%
0.001,+2.8%,4.7%,0.59,-18.9%,-4.2%,214.13,29.2%
0.003,+3.1%,4.3%,0.73,-14.3%,-4.0%,240.25,8.9%
0.005,+2.1%,5.4%,0.39,-24.4%,-5.9%,175.72,4.9%
