date,regime,target_next_regime,eq_tot_next,bd_tot_next,rf_tot_next,pred_RF,p_RF_calm,p_RF_normal,p_RF_stressed,pred_Logit,p_Logit_calm,p_Logit_normal,p_Logit_stressed
1996-02-29,calm,calm,0.007917,-0.0069511488704382,0.0039,normal,0.034907379851360255,0.9650926201486398,0.0,normal,0.044608821438307356,0.9553911785616926,0.0
1996-03-31,calm,calm,0.013432,-0.005623775407948,0.0046,normal,0.034907379851360255,0.9650926201486398,0.0,normal,0.043899602889968636,0.9561003971100314,0.0
1996-04-30,calm,calm,0.022853,-0.0020305942872614,0.0042,normal,0.034907379851360255,0.9650926201486398,0.0,normal,0.033889793079072694,0.9661102069209273,0.0
1996-05-31,calm,calm,0.002257,0.0134291915355397,0.004,normal,0.034907379851360255,0.9650926201486398,0.0,normal,0.03316268071718298,0.966837319282817,0.0
1996-06-30,calm,stressed,-0.045748,0.0027365070866609,0.0045,normal,0.034907379851360255,0.9650926201486398,0.0,normal,0.026243412360392182,0.9737565876396078,0.0
1996-07-31,stressed,stressed,0.018814,-0.0016759859395162,0.0041,normal,0.060117094699618505,0.9398829053003815,0.0,normal,0.014906999579873736,0.9850930004201263,0.0
1996-08-31,stressed,normal,0.054173,0.0174268310800773,0.0044,normal,0.15501385731261277,0.8449861426873874,0.0,normal,0.028955750914333445,0.9710442490856666,0.0
1996-09-30,normal,normal,0.026131,0.0221514828497582,0.0042,normal,0.15501385731261277,0.8449861426873874,0.0,normal,0.012820309014676012,0.987179690985324,0.0
1996-10-31,normal,calm,0.073376,0.0171285714285713,0.0041,normal,0.15501385731261277,0.8449861426873874,0.0,normal,0.011804702494414676,0.9881952975055853,0.0
1996-11-30,calm,calm,-0.021505,-0.0092978833972386,0.0046,normal,0.15501385731261277,0.8449861426873874,0.0,normal,0.042209152685623974,0.957790847314376,0.0
1996-12-31,calm,calm,0.061317,0.003062222663283,0.0045,normal,0.15501385731261277,0.8449861426873874,0.0,normal,0.035560465687562104,0.9644395343124379,0.0
1997-01-31,calm,calm,0.005928,0.0024875270306559,0.0039,normal,0.13946931587849445,0.8605306841215056,0.0,normal,0.03265827071598215,0.9673417292840178,0.0
1997-02-28,calm,stressed,-0.042614,-0.0110815040392505,0.0043,normal,0.1620225073665235,0.8379774926334763,0.0,normal,0.0226859386142072,0.9773140613857928,0.0
1997-03-31,stressed,normal,0.058406,0.0149694196142167,0.0043,normal,0.20302080316482293,0.7969791968351768,0.0,normal,0.00959142119230838,0.9904085788076916,0.0
1997-04-30,normal,normal,0.058577,0.0094531765763488,0.0049,normal,0.20302080316482293,0.7969791968351768,0.0,normal,0.0041535409126938205,0.9958464590873062,0.0
1997-05-31,normal,normal,0.043453,0.0118693123312834,0.0037,normal,0.20302080316482293,0.7969791968351768,0.0,normal,0.0035515416925890886,0.9964484583074109,0.0
1997-06-30,normal,calm,0.078123,0.0269668174754877,0.0043,normal,0.18514414936050758,0.8148558506394923,0.0,normal,0.0032462900401649675,0.996753709959835,0.0
1997-07-31,calm,normal,-0.057446,-0.0085297268344938,0.0041,normal,0.20302080316482293,0.7969791968351768,0.0,normal,0.015185782557762817,0.9848142174422372,0.0
