Smoothing half-life,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,+3.1%,4.3%,0.73,-14.3%,-4.0%,240.25,8.9%
3,+2.6%,4.1%,0.63,-19.7%,-3.9%,205.41,4.3%
6,+2.6%,4.2%,0.62,-19.7%,-4.2%,205.27,3.8%
