Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,+5.3%,11.0%,0.48,-34.8%,-10.6%,381.18,307.3%
0.001,+5.2%,12.0%,0.44,-56.9%,-13.6%,362.79,135.8%
0.003,+4.1%,12.8%,0.32,-51.0%,-14.0%,257.39,46.1%
0.005,+4.0%,12.2%,0.33,-53.8%,-13.2%,252.68,29.9%
