Risk aversion,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.25,+5.2%,12.0%,0.436,-56.9%,-13.6%,362.8,135.8%
0.5,+5.0%,10.6%,0.471,-45.4%,-11.0%,356.1,129.7%
1.0,+5.0%,8.8%,0.569,-21.7%,-8.9%,375.1,117.3%
2.0,+4.1%,7.1%,0.576,-16.6%,-7.5%,300.3,92.7%
3.0,+3.5%,6.2%,0.573,-16.1%,-6.7%,260.9,68.6%
5.0,+2.9%,4.7%,0.615,-16.1%,-4.7%,223.5,49.9%
