Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,+2.5%,3.5%,0.70,-13.2%,-3.0%,199.44,31.2%
0.001,+2.4%,3.6%,0.68,-14.6%,-3.1%,197.02,9.5%
0.003,+1.7%,2.7%,0.63,-10.5%,-2.5%,160.81,3.1%
0.005,+0.7%,1.8%,0.40,-9.9%,-1.7%,122.86,0.8%
