Smoothing half-life,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,+5.3%,11.0%,0.48,-34.8%,-10.6%,381.18,307.3%
3,+5.2%,11.2%,0.46,-41.6%,-11.4%,366.22,178.8%
6,+3.8%,11.9%,0.32,-53.1%,-11.9%,241.83,119.0%
