Risk aversion,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.25,+6.4%,15.2%,0.42,-62.2%,-14.0%,447.42,7.5%
0.5,+6.4%,15.0%,0.43,-62.2%,-14.0%,455.88,9.0%
1.0,+6.2%,14.2%,0.43,-60.1%,-13.4%,438.49,9.5%
2.0,+3.9%,7.1%,0.56,-26.4%,-6.7%,287.77,6.4%
3.0,+3.2%,5.0%,0.63,-20.2%,-4.8%,238.67,5.3%
5.0,+2.6%,4.1%,0.63,-19.7%,-3.9%,205.41,4.3%
