Smoothing half-life,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,4.4\%,5.8\%,0.77,-14.9\%,-5.5\%,341.89,59.8\%
3.0,3.6\%,6.0\%,0.60,-18.8\%,-6.0\%,268.16,28.7\%
6.0,3.0\%,5.4\%,0.56,-20.0\%,-5.2\%,230.13,20.5\%
