Moment shrinkage \(K\),Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,0.07628627090184041,0.10362522204433659,0.7361747400570194,-0.1633682353450001,-0.09719675,763.3033338551458,1.7335652173913043
12,0.0788946464933982,0.10485712745869566,0.752401371327625,-0.1633682353450001,-0.09719675,819.317892946318,1.601391304347826
24,0.07836215947453246,0.10573213023481842,0.7411385668717678,-0.1732566761350749,-0.10274448078037285,804.6936264866517,1.5986086956521737
30,0.07811958457308567,0.10606868256332763,0.7364999987290768,-0.18181005451099974,-0.10508912912883775,798.2417122370666,1.6041739130434784
36,0.07886244108977264,0.10649314722746787,0.7405400548574601,-0.1925017774809058,-0.10801993956441887,814.1814766411542,1.520695652173913
42,0.07914331640136495,0.10688871188121522,0.740427263164294,-0.20105515585683076,-0.11036458791288377,819.6240154040867,1.4956521739130435
48,0.08083512049213,0.10702958278492165,0.7552596056977068,-0.20319350045081186,-0.11095074999999999,859.7951313821144,1.4163478260869564
60,0.08152616083677997,0.1071636973245079,0.7607628597388386,-0.20319350045081186,-0.11095074999999999,876.582407348746,1.3523478260869564
96,0.07835038112614007,0.10971004703122049,0.7141586686572441,-0.21509557751178254,-0.11095074999999999,794.3221363368418,1.3509565217391304
