Moment shrinkage \(K\),Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,0.05110963010673683,0.07817791256659999,0.6537604859070186,-0.163368235345,-0.086040645,396.70734294570445,0.7179130434782608
12,0.05182147723633636,0.07741046841412348,0.6694375876800864,-0.14965636202135713,-0.08179589167731255,405.71622832937544,0.6580869565217391
24,0.05210822231072858,0.07471104565077921,0.6974634320378448,-0.13591598018400108,-0.07633066489356152,411.58760401052825,0.5509565217391305
30,0.05099059710129984,0.07302417033823005,0.6982701325482219,-0.12903509857268047,-0.07303156955130614,400.0845325127287,0.5252173913043479
36,0.049695825267424276,0.07172776021139454,0.6928394964649918,-0.13010062733914296,-0.0709956066156775,386.58339193197315,0.5140869565217392
42,0.04833076477683784,0.07005718987939545,0.6898758694152594,-0.13216491083501125,-0.06873758973978308,373.0400239934519,0.49460869565217397
48,0.047026273358576134,0.06777942919782996,0.6938133577566589,-0.1276814722424272,-0.06523084063817255,360.98709031873824,0.4626086956521739
60,0.04511191090156384,0.06441995112763473,0.7002785645115436,-0.11999584647781103,-0.05966500234600161,343.91609160272776,0.4173913043478261
96,0.04113821709817138,0.058528993299281504,0.7028690359975214,-0.14494325432879585,-0.051699318575068216,310.0970438433365,0.31304347826086953
