Smoothing half-life,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,7.9\%,10.6\%,0.74,-19.3\%,-10.8\%,814.18,152.1\%
3.0,6.5\%,11.3\%,0.58,-21.2\%,-11.5\%,541.38,82.5\%
6.0,6.8\%,12.0\%,0.57,-27.0\%,-11.7\%,576.31,47.4\%
