Risk aversion,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.25,6.6\%,10.6\%,0.62,-22.4\%,-10.5\%,556.31,99.2\%
0.5,6.3\%,10.2\%,0.62,-20.9\%,-10.0\%,524.75,100.3\%
1.0,6.3\%,9.7\%,0.66,-17.5\%,-9.9\%,538.47,91.1\%
2.0,5.5\%,7.6\%,0.73,-14.6\%,-7.5\%,449.91,77.9\%
3.0,4.4\%,5.8\%,0.77,-14.9\%,-5.5\%,341.89,59.8\%
5.0,3.5\%,4.4\%,0.79,-13.7\%,-4.2\%,265.92,43.1\%
