Role,Strategy,Ann. exc.,Vol.,Sharpe,Max DD,CVaR1%,Final,Turn.
Defensive,MinVar_JM_PROB_Logit,+0.80%,1.24%,0.641,-2.0%,-1.03%,234.0,0.33
Balanced,MV_JM_PROB_RF,+2.74%,4.36%,0.628,-9.6%,-4.41%,398.5,0.82
High-return,EW_JM_CONST_Logit,+4.70%,7.57%,0.621,-21.9%,-6.75%,661.2,0.49
Benchmark,60/40,+4.92%,9.61%,0.512,-33.9%,-8.57%,668.9,0.23
