Moment shrinkage \(K\),Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,0.042434923119159,0.06910193665812119,0.6140916618459468,-0.163368235345,-0.078543335,315.3527390264491,1.088
12,0.0449168559809405,0.06405120190679045,0.7012648419354421,-0.12903509857268058,-0.06691927546777175,342.07059033375947,0.8473043478260869
24,0.04547365817756924,0.058531822981031496,0.776904867499274,-0.12786889982306715,-0.054478009854689396,351.08159436474756,0.6845217391304348
30,0.04477624021006947,0.05782917265260699,0.7742846414049626,-0.14126854948146084,-0.05383446642196913,344.54470606933876,0.6455652173913045
36,0.04449422773986103,0.05760601059245301,0.7723886324058385,-0.14920675422234642,-0.054504126902375716,341.8904468357083,0.5982608695652174
42,0.04388454171136844,0.05731821042002278,0.7656300046666913,-0.15966388585572777,-0.055169473908310444,336.12038002758305,0.5467826086956522
48,0.04344368101936315,0.05759294722965149,0.754322935517291,-0.1675976691310922,-0.05625007604461991,331.7451566334815,0.512
60,0.04187336190567671,0.0559458296334433,0.7484626142829715,-0.1769716727918662,-0.05465506745786151,318.00416749279236,0.45495652173913037
96,0.03746718927887502,0.05349630864405788,0.7003696185500584,-0.18949194990442175,-0.05063198263953521,281.36220845349175,0.352
