Role,Model,Predictor set,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Ann. turnover,Final wealth
60/40 benchmark,\mbox{-{}-},\mbox{-{}-},0.04549621336481735,0.0962665288740066,0.472606770982287,-0.36175962834184683,0.1969711652832858,359.3526450712421
High-return dynamic,Logistic regression,smoothed z-score,0.0788624410897727,0.1064931472274678,0.7405400548574606,-0.192501777480906,1.520695652173913,814.1814766411551
Defensive dynamic,Random forest,smoothed z-score,0.044494227739861,0.057606010592453,0.7723886324058391,-0.1492067542223464,0.5982608695652174,341.89044683570893
Low-turnover dynamic,Logistic regression,z-score + smoothed z-score,0.0496958252674243,0.0717277602113945,0.6928394964649921,-0.1301006273391428,0.5140869565217392,386.5833919319732
