Smoothing half-life,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,5.7\%,7.7\%,0.74,-11.9\%,-7.6\%,475.79,155.8\%
3.0,5.0\%,7.2\%,0.69,-13.0\%,-7.1\%,386.58,51.4\%
6.0,4.2\%,6.9\%,0.60,-16.9\%,-7.0\%,308.15,30.8\%
