window,path_id,asset,feature_group,model_family,lambda,n_months,good_share,bad_share,ann_return,ann_vol,sharpe,worst_month,cvar_10pct,max_drawdown
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam0,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam0,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam0,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0,32,0.875,0.125,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam0,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam0,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam0,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam1em05,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1e-05,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam1em05,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1e-05,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam1em05,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1e-05,32,0.875,0.125,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam1em05,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1e-05,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam1em05,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1e-05,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam1em05,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1e-05,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam0p0001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0001,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam0p0001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0001,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam0p0001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0001,32,0.875,0.125,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam0p0001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0001,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam0p0001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0001,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam0p0001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0001,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam0p001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.001,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam0p001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.001,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam0p001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.001,32,0.875,0.125,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam0p001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.001,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam0p001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.001,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam0p001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.001,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam0p00390625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.00390625,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam0p00390625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.00390625,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam0p00390625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.00390625,32,0.875,0.125,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam0p00390625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.00390625,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam0p00390625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.00390625,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam0p00390625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.00390625,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam0p0078125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0078125,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam0p0078125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0078125,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam0p0078125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0078125,32,0.875,0.125,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam0p0078125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0078125,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam0p0078125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0078125,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam0p0078125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0078125,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam0p015625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.015625,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam0p015625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.015625,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam0p015625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.015625,32,0.875,0.125,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam0p015625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.015625,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam0p015625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.015625,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam0p015625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.015625,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam0p03125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.03125,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam0p03125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.03125,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam0p03125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.03125,32,0.875,0.125,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam0p03125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.03125,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam0p03125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.03125,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam0p03125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.03125,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam0p0625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0625,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam0p0625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0625,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam0p0625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0625,32,0.84375,0.15625,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam0p0625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0625,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam0p0625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0625,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam0p0625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0625,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam0p125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.125,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam0p125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.125,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam0p125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.125,32,0.875,0.125,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam0p125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.125,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam0p125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.125,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam0p125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.125,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam0p25,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.25,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam0p25,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.25,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam0p25,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.25,32,0.875,0.125,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam0p25,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.25,18,0.7222222222222222,0.2777777777777778,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam0p25,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.25,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam0p25,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.25,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
1994 bond shock,bd_return_downside_sharpe_vol_l1med_lam0p5,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.5,12,0.08333333333333333,0.9166666666666666,-0.06708204184908885,0.04340256702472359,-1.545577749142732,-0.027354280139136287,-0.02341380329046948,-0.07834720242425364
Covid crash,bd_return_downside_sharpe_vol_l1med_lam0p5,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.5,3,1.0,0.0,0.10996189108176618,0.04877962526384673,2.25425862718271,-0.007086582576755006,-0.007086582576755006,-0.007086582576754985
Dot-com bust,bd_return_downside_sharpe_vol_l1med_lam0p5,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.5,32,0.84375,0.15625,0.060714065793040756,0.03351825787817099,1.8113729542185193,-0.01793584152633113,-0.012330988694190897,-0.02621021227650122
GFC,bd_return_downside_sharpe_vol_l1med_lam0p5,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.5,18,0.6666666666666666,0.33333333333333337,0.039029037529184095,0.0530245354498561,0.7360561898009049,-0.024404208769948952,-0.019667918655281516,-0.04829093482118563
Inflation 2022,bd_return_downside_sharpe_vol_l1med_lam0p5,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.5,12,0.0,1.0,-0.1493880894198972,0.08215990119184591,-1.818260334455264,-0.045108936761375604,-0.041528639854656206,-0.14543551856617032
Recent 2024-2026,bd_return_downside_sharpe_vol_l1med_lam0p5,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.5,28,0.07142857142857142,0.9285714285714286,-0.006843451557236115,0.045856175045386874,-0.14923729575052214,-0.02996069465744929,-0.02642660506981333,-0.04303976342087257
