path_id,asset,feature_group,model_family,lambda,label_source,source_frequency,n_months,first_date,last_date,good_share,bad_share,n_switches,mean_spell_length,mean_good_spell_length,mean_bad_spell_length,monthly_turnover,n_months_ret,n_good,n_bad,state_good_ann_return,state_bad_ann_return,state_good_ann_vol,state_bad_ann_vol,state_good_downside,state_bad_downside,state_good_sharpe,state_bad_sharpe,good_minus_bad_ann_return,good_minus_bad_ann_vol,good_minus_bad_downside,good_minus_bad_sharpe,good_max_drawdown,bad_max_drawdown,good_cvar_1pct,bad_cvar_1pct,n_features,median_centroid_separation,mean_centroid_separation,max_centroid_separation,min_centroid_separation,n_features_sep_ge_0p5,n_features_sep_ge_1p0,n_features_sep_ge_1p5,median_abs_gap,max_abs_gap,total_bcss,top5_centroid_features,state_balance_ok,not_constant,not_monthly_flipping,economic_order_ok,centroid_ok
bd_return_downside_sharpe_vol_l1med_lam0,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6294642857142857,0.3705357142857143,47,9.333333333333334,11.75,6.916666666666667,0.10514541387024609,448.0,282.0,166.0,0.061552280287100566,-0.039865314700416404,0.030886943846220222,0.04851130264218998,0.013631041196994364,0.04034789883378355,1.992825207749811,-0.821773741976283,0.10141759498751697,-0.01762435879596976,-0.026716857636789187,2.814598949726094,-0.047879539797298754,-0.4443564271960556,-0.019917846496956552,-0.041528639854656206,11,1.7362999786899003,1.6688827410568208,2.25109554534807,0.8407186583109588,11,10,8,1.2760880649452264,1.4949695888699996,2514.9354126059116,"sharpe_12m:2.25, sharpe_6m:1.98, log_downside_3m:1.94, log_downside_1m:1.93, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam1em05,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1e-05,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6272321428571429,0.3727678571428571,45,9.73913043478261,12.217391304347826,7.260869565217392,0.10067114093959731,448.0,281.0,167.0,0.06164489394786815,-0.039413858674597096,0.030938780981229694,0.04839427744290204,0.013655274178252411,0.0402269153565349,1.9924797290904122,-0.8144322171376462,0.10105875262246525,-0.017455496461672347,-0.02657164117828249,2.8069119462280585,-0.047879539797298754,-0.4427113591254742,-0.019917846496956552,-0.041528639854656206,11,1.7362999786899003,1.6688827410568208,2.25109554534807,0.8407186583109588,11,10,8,1.2760880649452264,1.4949695888699996,2514.9354126059116,"sharpe_12m:2.25, sharpe_6m:1.98, log_downside_3m:1.94, log_downside_1m:1.93, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam0p0001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0001,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6294642857142857,0.3705357142857143,47,9.333333333333334,11.75,6.916666666666667,0.10514541387024609,448.0,282.0,166.0,0.06113020924481229,-0.03914830244785441,0.030778359257358338,0.04875319882170614,0.013631041196994364,0.04034789883378355,1.986142559896125,-0.8029894118542352,0.1002785116926667,-0.0179748395643478,-0.026716857636789187,2.7891319717503604,-0.047879539797298754,-0.4388892287505811,-0.019917846496956552,-0.041528639854656206,11,1.7362999786899003,1.6688827410568208,2.25109554534807,0.8407186583109588,11,10,8,1.2760880649452264,1.4949695888699996,2514.9354126059116,"sharpe_12m:2.25, sharpe_6m:1.98, log_downside_3m:1.94, log_downside_1m:1.93, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam0p001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.001,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6294642857142857,0.3705357142857143,45,9.73913043478261,12.26086956521739,7.217391304347826,0.10067114093959731,448.0,282.0,166.0,0.06110701003621279,-0.03910889174408901,0.030993559536581113,0.04852729030115697,0.013718634862191078,0.04029743425344933,1.9716034863336476,-0.8059154241125346,0.1002159017803018,-0.017533730764575855,-0.026578799391258255,2.777518910446182,-0.047879539797298754,-0.4384983010217445,-0.019917846496956552,-0.041528639854656206,11,1.7362999786899003,1.6688827410568208,2.25109554534807,0.8407186583109588,11,10,8,1.2760880649452264,1.4949695888699996,2514.9354126059116,"sharpe_12m:2.25, sharpe_6m:1.98, log_downside_3m:1.94, log_downside_1m:1.93, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam0p00390625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.00390625,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6272321428571429,0.3727678571428571,45,9.73913043478261,12.217391304347826,7.260869565217392,0.10067114093959731,448.0,281.0,167.0,0.06151139184982336,-0.03918922340782712,0.03091933946094594,0.04845445496445084,0.013655274178252411,0.0402269153565349,1.9894148103492986,-0.8087847327264075,0.10070061525765048,-0.017535115503504898,-0.02657164117828249,2.798199543075706,-0.047879539797298754,-0.44098310150932696,-0.019917846496956552,-0.041528639854656206,11,1.7362999786899003,1.6688827410568208,2.25109554534807,0.8407186583109588,11,10,8,1.2760880649452264,1.4949695888699996,2514.9354126059116,"sharpe_12m:2.25, sharpe_6m:1.98, log_downside_3m:1.94, log_downside_1m:1.93, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam0p0078125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0078125,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6272321428571429,0.3727678571428571,49,8.96,11.24,6.68,0.10961968680089486,448.0,281.0,167.0,0.06175244103715036,-0.03959482114219172,0.03068484304958536,0.04863466423451863,0.013514123609601636,0.040307041355352895,2.012473745991176,-0.8141275726971946,0.10134726217934208,-0.017949821184933268,-0.02679291774575126,2.8266013186883705,-0.047879539797298754,-0.4442065446801994,-0.019917846496956552,-0.041528639854656206,11,1.7362999786899003,1.6688827410568208,2.25109554534807,0.8407186583109588,11,10,8,1.2760880649452264,1.4949695888699996,2514.9354126059116,"sharpe_12m:2.25, sharpe_6m:1.98, log_downside_3m:1.94, log_downside_1m:1.93, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam0p015625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.015625,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6316964285714286,0.3683035714285714,47,9.333333333333334,11.791666666666666,6.875,0.10514541387024609,448.0,283.0,165.0,0.06108951390552321,-0.03968625233072626,0.030854307944580307,0.048719420018748995,0.0136179408311529,0.040463631690253146,1.9799346663438562,-0.8145879469717323,0.10077576623624947,-0.017865112074168688,-0.026845690859100248,2.7945226133155883,-0.047879539797298754,-0.4411478181105112,-0.019917846496956552,-0.041528639854656206,11,1.7362999786899003,1.6688827410568208,2.25109554534807,0.8407186583109588,11,10,8,1.2760880649452264,1.4949695888699996,2514.9354126059116,"sharpe_12m:2.25, sharpe_6m:1.98, log_downside_3m:1.94, log_downside_1m:1.93, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam0p03125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.03125,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6272321428571429,0.3727678571428571,45,9.73913043478261,12.217391304347826,7.260869565217392,0.10067114093959731,448.0,281.0,167.0,0.06042334751371447,-0.03735844221952413,0.03091385186506949,0.048773665556155685,0.013743023565643515,0.04017660209462328,1.9545719432649755,-0.7659551890048408,0.09778178973323859,-0.017859813691086194,-0.026433578528979765,2.720527132269816,-0.047879539797298754,-0.42663258652688907,-0.019917846496956552,-0.041528639854656206,11,1.7361884738935682,1.6699293834813467,2.2551239192166177,0.8443243270533768,11,10,8,1.2788606959463593,1.4961921952558066,2516.1695156630826,"sharpe_12m:2.26, sharpe_6m:1.99, log_downside_3m:1.94, log_downside_1m:1.93, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam0p0625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0625,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6294642857142857,0.3705357142857143,47,9.333333333333334,11.75,6.916666666666667,0.10514541387024609,448.0,282.0,166.0,0.060145771894124164,-0.037475945020781797,0.030919594436946522,0.04888539114524944,0.01372958808479383,0.04029109666654142,1.9452315914679208,-0.7666082676812869,0.09762171691490595,-0.017965796708302915,-0.026561508581747585,2.7118398591492077,-0.047879539797298754,-0.42576540672143315,-0.019917846496956552,-0.041528639854656206,11,1.7361884738935682,1.6699293834813467,2.2551239192166177,0.8443243270533768,11,10,8,1.2788606959463593,1.4961921952558066,2516.1695156630826,"sharpe_12m:2.26, sharpe_6m:1.99, log_downside_3m:1.94, log_downside_1m:1.93, ewm_return_6m:1.90",True,True,True,True,True
bd_return_downside_sharpe_vol_l1med_lam0p125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.125,bond_return_downside_sharpe_vol_monthly_sjm,monthly,448,1989-01-31,2026-04-30,0.6294642857142857,0.3705357142857143,49,8.96,11.28,6.64,0.10961968680089486,448.0,282.0,166.0,0.0626024173107213,-0.04164928241524204,0.030630607355773894,0.04847103233865647,0.013348968216106063,0.04050779351041168,2.0437863534207947,-0.8592613032098767,0.10425169972596335,-0.017840424982882575,-0.027158825294305616,2.9030476566306715,-0.047879539797298754,-0.4579322055165266,-0.019917846496956552,-0.041528639854656206,11,1.7410602854870356,1.6697144336405065,2.263417570185604,0.8389791903704356,11,10,8,1.2763253852635863,1.4985795909646833,2515.272493711069,"sharpe_12m:2.26, sharpe_6m:1.99, log_downside_3m:1.93, log_downside_1m:1.93, ewm_return_6m:1.90",True,True,True,True,True
