date,bd_return_downside_sharpe_vol_l1med_lam0_state,bd_return_downside_sharpe_vol_l1med_lam0_prob,bd_return_downside_sharpe_vol_l1med_lam0p0001_state,bd_return_downside_sharpe_vol_l1med_lam0p0001_prob,bd_return_downside_sharpe_vol_l1med_lam0p001_state,bd_return_downside_sharpe_vol_l1med_lam0p001_prob,bd_return_downside_sharpe_vol_l1med_lam0p00390625_state,bd_return_downside_sharpe_vol_l1med_lam0p00390625_prob,bd_return_downside_sharpe_vol_l1med_lam0p0078125_state,bd_return_downside_sharpe_vol_l1med_lam0p0078125_prob,bd_return_downside_sharpe_vol_l1med_lam0p015625_state,bd_return_downside_sharpe_vol_l1med_lam0p015625_prob,bd_return_downside_sharpe_vol_l1med_lam0p03125_state,bd_return_downside_sharpe_vol_l1med_lam0p03125_prob,bd_return_downside_sharpe_vol_l1med_lam0p0625_state,bd_return_downside_sharpe_vol_l1med_lam0p0625_prob,bd_return_downside_sharpe_vol_l1med_lam0p125_state,bd_return_downside_sharpe_vol_l1med_lam0p125_prob,bd_return_downside_sharpe_vol_l1med_lam0p25_state,bd_return_downside_sharpe_vol_l1med_lam0p25_prob,bd_return_downside_sharpe_vol_l1med_lam0p5_state,bd_return_downside_sharpe_vol_l1med_lam0p5_prob,bd_return_downside_sharpe_vol_l1med_lam1_state,bd_return_downside_sharpe_vol_l1med_lam1_prob,bd_return_downside_sharpe_vol_l1med_lam1em05_state,bd_return_downside_sharpe_vol_l1med_lam1em05_prob,bd_return_downside_sharpe_vol_l1med_lam2_state,bd_return_downside_sharpe_vol_l1med_lam2_prob,bd_return_downside_sharpe_vol_l1med_lam4_state,bd_return_downside_sharpe_vol_l1med_lam4_prob,bd_return_downside_sharpe_vol_l2_lam0_state,bd_return_downside_sharpe_vol_l2_lam0_prob,bd_return_downside_sharpe_vol_l2_lam0p0001_state,bd_return_downside_sharpe_vol_l2_lam0p0001_prob,bd_return_downside_sharpe_vol_l2_lam0p001_state,bd_return_downside_sharpe_vol_l2_lam0p001_prob,bd_return_downside_sharpe_vol_l2_lam0p00390625_state,bd_return_downside_sharpe_vol_l2_lam0p00390625_prob,bd_return_downside_sharpe_vol_l2_lam0p0078125_state,bd_return_downside_sharpe_vol_l2_lam0p0078125_prob,bd_return_downside_sharpe_vol_l2_lam0p015625_state,bd_return_downside_sharpe_vol_l2_lam0p015625_prob,bd_return_downside_sharpe_vol_l2_lam0p03125_state,bd_return_downside_sharpe_vol_l2_lam0p03125_prob,bd_return_downside_sharpe_vol_l2_lam0p0625_state,bd_return_downside_sharpe_vol_l2_lam0p0625_prob,bd_return_downside_sharpe_vol_l2_lam0p125_state,bd_return_downside_sharpe_vol_l2_lam0p125_prob,bd_return_downside_sharpe_vol_l2_lam0p25_state,bd_return_downside_sharpe_vol_l2_lam0p25_prob,bd_return_downside_sharpe_vol_l2_lam0p5_state,bd_return_downside_sharpe_vol_l2_lam0p5_prob,bd_return_downside_sharpe_vol_l2_lam1_state,bd_return_downside_sharpe_vol_l2_lam1_prob,bd_return_downside_sharpe_vol_l2_lam1em05_state,bd_return_downside_sharpe_vol_l2_lam1em05_prob,bd_return_downside_sharpe_vol_l2_lam2_state,bd_return_downside_sharpe_vol_l2_lam2_prob,bd_return_downside_sharpe_vol_l2_lam4_state,bd_return_downside_sharpe_vol_l2_lam4_prob,eq_return_sortino_l1med_lam128_state,eq_return_sortino_l1med_lam128_prob,eq_return_sortino_l1med_lam16_state,eq_return_sortino_l1med_lam16_prob,eq_return_sortino_l1med_lam2_state,eq_return_sortino_l1med_lam2_prob,eq_return_sortino_l1med_lam32_state,eq_return_sortino_l1med_lam32_prob,eq_return_sortino_l1med_lam4_state,eq_return_sortino_l1med_lam4_prob,eq_return_sortino_l1med_lam64_state,eq_return_sortino_l1med_lam64_prob,eq_return_sortino_l1med_lam8_state,eq_return_sortino_l1med_lam8_prob,eq_return_sortino_l2_lam128_state,eq_return_sortino_l2_lam128_prob,eq_return_sortino_l2_lam16_state,eq_return_sortino_l2_lam16_prob,eq_return_sortino_l2_lam2_state,eq_return_sortino_l2_lam2_prob,eq_return_sortino_l2_lam32_state,eq_return_sortino_l2_lam32_prob,eq_return_sortino_l2_lam4_state,eq_return_sortino_l2_lam4_prob,eq_return_sortino_l2_lam64_state,eq_return_sortino_l2_lam64_prob,eq_return_sortino_l2_lam8_state,eq_return_sortino_l2_lam8_prob,bd_excess,eq_excess
1989-01-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9047619047619048,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.0,0.0,1.0,1.0,0.00888828176811513,0.06527334736930679
1989-02-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.013348436611711263,-0.03484276354724447
1989-03-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.002376449534717234,0.014016131322931003
1989-04-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014225989280419665,0.043115632669674886
1989-05-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018377576096062515,0.027033695555273463
1989-06-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.023348151070719074,-0.014923690510504795
1989-07-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014256931608133024,0.08083382335892919
1989-08-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.02221577246283128,0.008059394637435657
1989-09-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0013821584168809903,-0.012964336889107808
1989-10-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01782333864271349,-0.031769977126807736
