Label,P(U->U),P(U->F),P(F->U),P(F->F),Expected unfavorable duration,Expected favorable duration
Equity,75.9%,24.1%,7.5%,92.5%,4.2,13.3
Bond,85.8%,14.2%,7.3%,92.7%,7.1,13.8
