Smoothing half-life,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0,+1.8%,3.8%,0.48,-8.6%,-4.1%,168.98,215.8%
3,+2.0%,3.4%,0.59,-9.8%,-3.5%,178.19,90.7%
6,+2.2%,3.4%,0.64,-11.1%,-3.4%,187.90,60.7%
