Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,+2.0%,3.4%,0.59,-9.8%,-3.5%,178.25,90.9%
0.001,+2.2%,3.5%,0.63,-10.7%,-3.6%,186.32,30.3%
0.003,+1.3%,2.9%,0.44,-6.9%,-3.5%,143.84,9.8%
0.005,+1.0%,2.2%,0.47,-4.8%,-2.8%,134.72,5.3%
