date,regime,target_next_regime,eq_tot_next,bd_tot_next,rf_tot_next,pred_RF,p_RF_calm,p_RF_normal,p_RF_stressed,pred_Logit,p_Logit_calm,p_Logit_normal,p_Logit_stressed
1996-02-29,calm,calm,0.007917,-0.0069511488704382,0.0039,calm,0.5657771163767683,0.4184885123409297,0.015734371282301766,calm,0.5644576817898571,0.3854061465688466,0.050136171641296204
1996-03-31,calm,calm,0.013432,-0.005623775407948,0.0046,calm,0.5654690478825249,0.4228301646356945,0.011700787481780281,calm,0.5810781206254403,0.36410427051302424,0.05481760886153541
1996-04-30,calm,calm,0.022853,-0.0020305942872614,0.0042,calm,0.558184517347474,0.43226867170850375,0.00954681094402213,calm,0.5646350319641062,0.3867850425292882,0.0485799255066056
1996-05-31,calm,calm,0.002257,0.0134291915355397,0.004,normal,0.45803411838431396,0.5365791664598385,0.005386715155847523,calm,0.5583236546852826,0.3953425847283778,0.046333760586339666
1996-06-30,calm,stressed,-0.045748,0.0027365070866609,0.0045,calm,0.5237913858425366,0.4708218990016159,0.005386715155847523,calm,0.5276924801348705,0.4342913575580832,0.038016162307046394
1996-07-31,stressed,stressed,0.018814,-0.0016759859395162,0.0041,normal,0.2040032719768992,0.5602519615900224,0.23574476643307843,stressed,0.12310208250409486,0.40916861575639535,0.4677293017395099
1996-08-31,stressed,normal,0.054173,0.0174268310800773,0.0044,normal,0.16428832919625844,0.4796197316940285,0.3560919391097132,stressed,0.04459524953132939,0.07472225040040904,0.8806825000682615
1996-09-30,normal,normal,0.026131,0.0221514828497582,0.0042,normal,0.03359520959794243,0.9663242008485322,8.058955352525427e-05,normal,0.062355308415919915,0.9269693283007956,0.010675363283284578
1996-10-31,normal,calm,0.073376,0.0171285714285713,0.0041,normal,0.030056559685851105,0.9698628507606234,8.058955352525427e-05,normal,0.06014250090592092,0.9290532386962255,0.010804260397853602
1996-11-30,calm,calm,-0.021505,-0.0092978833972386,0.0046,calm,0.5199204566660162,0.4783709903363842,0.0017085529975996508,calm,0.6935715016737565,0.28889987376522147,0.017528624561022058
1996-12-31,calm,calm,0.061317,0.003062222663283,0.0045,calm,0.7238985639676749,0.2751289512562946,0.0009724847760301864,calm,0.7391334362833869,0.2472441624691809,0.013622401247432138
1997-01-31,calm,calm,0.005928,0.0024875270306559,0.0039,calm,0.6871755803165404,0.3118519349074294,0.0009724847760301864,calm,0.7415262834537085,0.24531943167654374,0.01315428486974777
1997-02-28,calm,stressed,-0.042614,-0.0110815040392505,0.0043,calm,0.6922085630934012,0.2962642725026571,0.01152716440394187,calm,0.7432764484070041,0.2277853219682749,0.028938229624721114
1997-03-31,stressed,normal,0.058406,0.0149694196142167,0.0043,normal,0.3121701448483027,0.4147493054966598,0.27308054965503753,stressed,0.1275841080395625,0.14912369851015472,0.7232921934502827
1997-04-30,normal,normal,0.058577,0.0094531765763488,0.0049,normal,0.23015748117662926,0.7560521531623833,0.013790365660987297,normal,0.16333269741118672,0.8096487348903161,0.027018567698497267
1997-05-31,normal,normal,0.043453,0.0118693123312834,0.0037,normal,0.23280573749550948,0.7543366880417809,0.012857574462709373,normal,0.16616796022978275,0.8029383296328831,0.03089371013733408
1997-06-30,normal,calm,0.078123,0.0269668174754877,0.0043,normal,0.16901166386038283,0.8233061800123425,0.007682156127274652,normal,0.16969045935854538,0.8037566662848282,0.026552874356626562
1997-07-31,calm,normal,-0.057446,-0.0085297268344938,0.0041,calm,0.7294258925241688,0.2560781772285476,0.014495930247283496,calm,0.7846041133645266,0.18999978583538946,0.02539610080008379
1997-08-31,normal,normal,0.053154,0.0147481868643897,0.0044,normal,0.24502289053101625,0.7445057365096912,0.010471372959292263,normal,0.24990534141007412,0.6953533360072253,0.054741322582700584
1997-09-30,normal,normal,-0.034478,0.0145072203367271,0.0042,normal,0.28241725921124144,0.703572935912956,0.014009804875802195,normal,0.2537480475967864,0.6917408050231945,0.0545111473800192
1997-10-31,normal,normal,0.044587,0.0046047884552311,0.0039,normal,0.3375991652968719,0.649293231108706,0.013107603594422092,normal,0.25586220330114734,0.6891110212262752,0.05502677547257744
