Risk aversion,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.25,+3.8%,7.3%,0.51,-18.9%,-8.2%,290.38,124.1%
0.5,+3.8%,7.0%,0.55,-18.0%,-7.7%,295.75,124.7%
1.0,+2.9%,6.0%,0.47,-17.7%,-7.6%,224.43,131.8%
2.0,+2.4%,4.2%,0.56,-13.1%,-4.6%,196.90,107.4%
3.0,+2.0%,3.4%,0.59,-9.8%,-3.5%,178.19,90.7%
5.0,+1.5%,2.4%,0.62,-5.9%,-2.5%,152.94,63.4%
