Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,+2.2%,3.8%,0.594,-7.6%,-3.7%,348.6,99.7%
0.0005,+2.2%,3.8%,0.594,-7.6%,-3.6%,348.1,92.2%
0.001,+2.3%,3.8%,0.605,-8.0%,-3.6%,354.1,87.5%
0.0025,+2.3%,3.9%,0.604,-8.4%,-3.8%,357.6,78.0%
0.005,+2.4%,3.9%,0.609,-9.2%,-3.8%,362.1,64.5%
0.0075,+2.5%,3.9%,0.63,-10.2%,-3.6%,370.6,55.0%
0.01,+2.4%,3.8%,0.635,-11.2%,-3.5%,362.7,44.0%
