Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,+2.7%,4.4%,0.622,-10.0%,-4.4%,397.1,82.1%
0.0005,+2.7%,4.4%,0.614,-10.3%,-4.5%,396.1,74.1%
0.001,+2.7%,4.4%,0.614,-10.5%,-4.5%,396.3,68.2%
0.0025,+2.7%,4.5%,0.597,-10.9%,-5.0%,393.8,58.2%
0.005,+2.6%,4.7%,0.561,-11.3%,-5.2%,382.4,48.8%
0.0075,+2.8%,4.6%,0.594,-11.3%,-4.9%,398.3,39.2%
0.01,+2.8%,4.5%,0.608,-11.7%,-4.6%,399.2,33.2%
