date,level,diff_1,diff_12,pct_change_1,pct_change_12,ann_2q,ann_4q,zscore,variance_proxy,dev_from_36_mean
1966-01-01,40.33999,,,,,,,-0.808092356650451,0.6530132568768797,
1966-04-01,39.26763,-1.0723600000000033,,-0.026583050714687917,,,,-0.8447610264759295,0.7136211918526661,
1966-07-01,39.62091,0.35328000000000515,,0.008996723255261463,,-0.035333227604310125,,-0.832680841019604,0.6933573830011152,
1966-10-01,39.51977,-0.1011400000000009,,-0.002552692505043419,,0.012883359838610442,,-0.8361392591498484,0.6991288606916574,
1967-01-01,39.20383,-0.31593999999999767,-1.1361599999999967,-0.007994479724957815,-0.028164607874221037,-0.020942716786285787,-0.028164607874221037,-0.8469426269970841,0.717311813424722,
1967-04-01,38.03292,-1.1709100000000063,-1.2347099999999998,-0.029867234910466833,-0.0314434560985728,-0.07383039752597809,-0.0314434560985728,-0.8869811515460706,0.7867355631979934,
1967-07-01,38.82145,0.7885300000000015,-0.7994600000000034,0.020732828297169936,-0.020177729385821852,-0.019412144261677255,-0.020177729385821852,-0.860017868490488,0.7396307341229224,
1967-10-01,39.10231,0.2808600000000041,-0.4174599999999984,0.007234660220058808,-0.010563320586126856,0.05702555984826896,-0.010563320586126856,-0.8504140389862319,0.7232040377048764,
1968-01-01,38.42951,-0.6728000000000023,-0.774320000000003,-0.017206144598618356,-0.01975113145832952,-0.02009000146780804,-0.01975113145832952,-0.8734200081184096,0.7628625105815626,
1968-04-01,36.96379,-1.4657199999999975,-1.0691299999999941,-0.038140481104234625,-0.028110647302389435,-0.1063897130145377,-0.028110647302389435,-0.9235393735708698,0.8529249745356746,
1968-07-01,37.30897,0.34517999999999915,-1.5124799999999965,0.009338328131395679,-0.03895990489793644,-0.057466434899897334,-0.03895990489793644,-0.9117361624753807,0.8312628299653337,
1968-10-01,36.98532,-0.32365000000000066,-2.1169900000000013,-0.008674857547662174,-0.05413976821318234,0.0011652630968059796,-0.05413976821318234,-0.9228031688808939,0.8515656884966195,
1969-01-01,36.19577,-0.7895499999999984,-2.2337399999999974,-0.021347659017145082,-0.058125643548408434,-0.058784391145919934,-0.058125643548408434,-0.9498013301893224,0.9021225668294063,
1969-04-01,34.97403,-1.221740000000004,-1.989760000000004,-0.03375366790097312,-0.053829977932457806,-0.10580426263477949,-0.053829977932457806,-0.9915779543384703,0.9832268395300655,
