scenario_id,strategy,family,allocation_pair,budget_mode,n_months,first_date,last_date,ann_return,ann_vol,sharpe,max_drawdown,cvar_1pct_monthly,final_wealth,avg_monthly_turnover,ann_turnover,avg_tcost_paid_monthly,ann_tcost_drag,avg_w_eq,avg_w_bd,avg_w_cash,gamma,tau,tcost_one_way,prob_smooth_halflife,shrink_k,strategy_name,feature_design,lambda_turnover,effective_trade_penalty,max_monthly_turnover,both_good_n,equity_good_only_n,bond_good_only_n,both_bad_n,both_good_avg_eq,both_good_avg_bd,both_good_avg_cash,equity_good_only_avg_eq,equity_good_only_avg_bd,equity_good_only_avg_cash,bond_good_only_avg_eq,bond_good_only_avg_bd,bond_good_only_avg_cash,both_bad_avg_eq,both_bad_avg_bd,both_bad_avg_cash
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau3p0__c0p0005__phl0p0__l10p0025,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.06682640975948376,0.09476042074405107,0.7052143630723486,-0.163368235345,-0.09444952381604696,597.148730696472,0.0941449275362319,1.1297391304347828,4.707246376811594e-05,0.0005648695652173913,0.564231884057971,0.3539130434782609,0.08185507246376812,1.0,3.0,0.0005,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau3p0__c0p0005__phl0p0__l10p0025,z_plus_zsmooth,0.0025,0.004,2.0,162,90,57,36,0.6455555555555557,0.3544444444444444,-5.13992141030165e-19,0.9584444444444445,0.02577777777777778,0.015777777777777776,0.02421052631578947,0.9185964912280702,0.057192982456140344,0.06777777777777777,0.2777777777777778,0.6544444444444444
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g0p5__tau1p0__c0p001__phl0p0__l10p0,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.07344202911229593,0.10422789890023516,0.7046292776427657,-0.16843799697075112,-0.09735855153893641,702.3313228704794,0.22968115942028983,2.7561739130434777,0.00022968115942028987,0.0027561739130434783,0.704927536231884,0.20707246376811594,0.088,0.5,1.0,0.001,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g0p5__tau1p0__c0p001__phl0p0__l10p0,z_plus_zsmooth,0.0,0.001,2.0,162,90,57,36,0.9477777777777779,0.052222222222222225,-7.709882115452476e-19,0.9913333333333333,0.008,0.0006666666666666656,0.0,1.0,0.0,0.012222222222222225,0.1461111111111111,0.8416666666666667
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau1p0__c0p0005__phl0p0__l10p0025,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.06837632546961503,0.09704158835996989,0.7046084738017394,-0.1890701202514672,-0.09716125,620.3277253627755,0.10666666666666666,1.2799999999999998,5.333333333333333e-05,0.0006399999999999999,0.5976231884057971,0.3224927536231884,0.07988405797101449,1.0,1.0,0.0005,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau1p0__c0p0005__phl0p0__l10p0025,z_plus_zsmooth,0.0025,0.003,2.0,162,90,57,36,0.7245679012345678,0.2754320987654321,-4.882925339786568e-18,0.9695555555555555,0.018222222222222223,0.012222222222222223,0.0,0.9649122807017544,0.03508771929824561,0.042777777777777776,0.2777777777777778,0.6794444444444444
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau5p0__c0p0005__phl0p0__l10p0005,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.06837632546961503,0.09704158835996989,0.7046084738017394,-0.1890701202514672,-0.09716125,620.3277253627755,0.10666666666666666,1.2799999999999998,5.333333333333333e-05,0.0006399999999999999,0.5976231884057971,0.3224927536231884,0.07988405797101449,1.0,5.0,0.0005,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau5p0__c0p0005__phl0p0__l10p0005,z_plus_zsmooth,0.0005,0.003,2.0,162,90,57,36,0.7245679012345678,0.2754320987654321,-4.882925339786568e-18,0.9695555555555555,0.018222222222222223,0.012222222222222223,0.0,0.9649122807017544,0.03508771929824561,0.042777777777777776,0.2777777777777778,0.6794444444444444
z_smooth_only,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau3p0__c0p0005__phl0p0__l10p001,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.06920389969809734,0.09829338145754497,0.7040545220024603,-0.17576890842113602,-0.09612167034479173,632.865032610118,0.09971014492753623,1.1965217391304348,4.9855072463768116e-05,0.0005982608695652173,0.6336811594202899,0.2911304347826087,0.07518840579710145,1.0,3.0,0.0005,0.0,36.0,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau3p0__c0p0005__phl0p0__l10p001,z_smooth_only,0.001,0.0025,2.0,149,107,55,34,0.7691275167785234,0.22805369127516775,0.0028187919463087204,0.9590654205607477,0.027289719626168222,0.013644859813084111,0.0007272727272727273,0.9916363636363636,0.007636363636363637,0.039999999999999994,0.2647058823529412,0.6952941176470588
z_smooth_only,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau5p0__c0p0005__phl0p0__l10p0,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.06920389969809734,0.09829338145754497,0.7040545220024603,-0.17576890842113602,-0.09612167034479173,632.865032610118,0.09971014492753623,1.1965217391304348,4.9855072463768116e-05,0.0005982608695652173,0.6336811594202899,0.2911304347826087,0.07518840579710145,1.0,5.0,0.0005,0.0,36.0,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau5p0__c0p0005__phl0p0__l10p0,z_smooth_only,0.0,0.0025,2.0,149,107,55,34,0.7691275167785234,0.22805369127516775,0.0028187919463087204,0.9590654205607477,0.027289719626168222,0.013644859813084111,0.0007272727272727273,0.9916363636363636,0.007636363636363637,0.039999999999999994,0.2647058823529412,0.6952941176470588
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau1p0__c0p001__phl0p0__l10p001,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.07079567495694647,0.10059668687900623,0.7037575207829334,-0.163368235345,-0.09668915021984806,658.0580817256348,0.1441159420289855,1.7293913043478262,0.0001441159420289855,0.0017293913043478258,0.6499130434782608,0.27072463768115945,0.0793623188405797,1.0,1.0,0.001,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau1p0__c0p001__phl0p0__l10p001,z_plus_zsmooth,0.001,0.002,2.0,162,90,57,36,0.835679012345679,0.164320987654321,-5.332668463187962e-18,0.9757777777777777,0.012222222222222223,0.012,0.0,0.9824561403508771,0.017543859649122806,0.028333333333333335,0.2688888888888889,0.7027777777777777
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p001__phl3p0__l10p0,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.05175232092699121,0.07360422627687015,0.7031161598291834,-0.1275563857252553,-0.07053780513035605,408.42657831250466,0.06231884057971015,0.7478260869565218,6.231884057971013e-05,0.0007478260869565217,0.43582608695652175,0.47124637681159415,0.09292753623188404,3.0,1.0,0.001,3.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p001__phl3p0__l10p0,z_plus_zsmooth,0.0,0.001,1.0,175,92,48,30,0.4834285714285714,0.5165714285714286,-1.3639882873966209e-17,0.714782608695652,0.17565217391304347,0.10956521739130434,0.0,1.0,0.0,0.0,0.2673333333333333,0.7326666666666667
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau1p0__c0p0025__phl0p0__l10p001,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.06664591280639268,0.09502903636928903,0.701321568151047,-0.1633682353450001,-0.09716125,593.5776516868674,0.09472463768115942,1.136695652173913,0.00023681159420289855,0.0028417391304347826,0.5733333333333334,0.34782608695652173,0.07884057971014492,1.0,1.0,0.0025,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau1p0__c0p0025__phl0p0__l10p001,z_plus_zsmooth,0.001,0.0035,2.0,162,90,57,36,0.670246913580247,0.3297530864197531,4.454598555594764e-18,0.9653333333333333,0.021333333333333333,0.01333333333333333,0.005964912280701754,0.9589473684210525,0.03508771929824561,0.05555555555555555,0.2777777777777778,0.6666666666666666
z_plus_zsmooth,z_plus_zsmooth__RF_return_sortino_vs_bond__cash_allowed__g2p0__tau1p0__c0p0005__phl0p0__l10p0005,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.054282305756153955,0.0774312812103319,0.7010384551006357,-0.13935374831650094,-0.07844917102395041,435.24363396197214,0.1264927536231884,1.5179130434782608,6.32463768115942e-05,0.0007589565217391304,0.4904927536231885,0.4419130434782609,0.06759420289855071,2.0,1.0,0.0005,0.0,36.0,z_plus_zsmooth__RF_return_sortino_vs_bond__cash_allowed__g2p0__tau1p0__c0p0005__phl0p0__l10p0005,z_plus_zsmooth,0.0005,0.001,1.32,165,83,72,25,0.6271515151515151,0.3728484848484848,-1.2363847319689243e-17,0.7763855421686747,0.163855421686747,0.05975903614457829,0.008055555555555557,0.9919444444444445,0.0,0.0288,0.2368,0.7343999999999999
