lambda_turnover,n_strategies,best_sharpe,median_sharpe,best_ann_return,median_ann_return,median_ann_turnover,min_ann_turnover,best_ann_turnover,median_avg_cash,best_strategy
0.0,296,0.8149584331085663,0.5976438389329738,0.08288474087368623,0.06008540326508388,0.6928695652173913,0.21982608695652178,0.7387826086956523,0.06371014492753622,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau3p0__c0p0005__phl0p0__l10p0
0.0005,256,0.8087712312846725,0.5840228693398599,0.08225308869977319,0.058843193412600636,0.6511304347826088,0.20800000000000002,0.7387826086956523,0.06434782608695652,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p001__phl0p0__l10p0005
0.001,233,0.8149584331085663,0.5734716064709994,0.08288474087368623,0.05844050163194449,0.5732173913043479,0.20800000000000002,0.7387826086956523,0.06388405797101449,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p0005__phl0p0__l10p001
0.0025,117,0.7783596530776012,0.5631148839489064,0.07518455422169965,0.057269415825177014,0.4772173913043478,0.20800000000000002,0.7401739130434783,0.07049275362318841,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau3p0__c0p0005__phl0p0__l10p0025
